investigation: investigation+N+SG
primary: primary+N+SG
election: election+N+SG
evidence: evidence+N+SG
irregularities: irregularity+N+PL
place: place+N+SG
jury: jury+N+SG
presentments: presentment+N+PL
charge: charge+N+SG
praise: praise+N+SG
thanks: thank+N+PL
manner: manner+N+SG
term: term+N+SG
reports: report+N+PL
handful: handful+N+SG
interest: interest+N+SG
number: number+N+SG
voters: voter+N+PL
size: size+N+SG
city: city+N+SG
registration: registration+N+SG
laws: law+N+PL
legislators: legislator+N+PL
end: end+N+SG
topics: topic+N+PL
departments: department+N+PL
practices: practice+N+PL
governments: government+N+PL
of: of+N+SG
fices: fice+N+PL
ef: ef+N+SG
ficiency: Invalid Word
cost: cost+N+SG
administration: administration+N+SG
personnel: personnel+N+SG
result: result+N+SG
policies: policy+N+PL
steps: step+N+PL
problem: problem+N+SG
Implementation: implementation+N+SG
automobile: automobile+N+SG
title: title+N+SG
law: law+N+SG
funds: fund+N+PL
date: date+N+SG
implementation: implementation+N+SG
swipe: swipe+N+SG
handling: handling+N+SG
child: child+N+SG
welfare: welfare+N+SG
services: service+N+PL
homes: home+N+PL
items: item+N+PL
assistance: assistance+N+SG
program: program+N+SG
counties: county+N+PL
state: state+N+SG
exception: Invalid Word
money: money+N+SG
jurors: juror+N+PL
distribution: distribution+N+SG
future: future+N+SG
portion: portion+N+SG
Failure: failure+N+SG
burden: burden+N+SG
taxpayers: taxpayer+N+PL
court: court+N+SG
fire: fire+N+SG
appointment: appointment+N+SG
appraisers: appraiser+N+PL
guardians: guardian+N+PL
administrators: administrator+N+PL
awarding: awarding+N+SG
fees: fee+N+PL
compensation: compensation+N+SG
procedures: procedure+N+PL
recommendations: recommendation+N+PL
juries: jury+N+PL
interim: interim+N+SG
citizens: citizen+N+PL
committee: committee+N+SG
actions: action+N+PL
fact: fact+N+SG
fect: fect+N+SG
wards: ward+N+PL
costs: cost+N+PL
servants: servant+N+PL
criticisms: criticism+N+PL
airport: airport+N+SG
management: management+N+SG
influences: influence+N+PL
surveillance: surveillance+N+SG
concessionaires: concessionaire+N+PL
purpose: purpose+N+SG
prices: price+N+PL
matters: matter+N+PL
deputies: deputy+N+PL
doctor: doctor+N+SG
intern: intern+N+SG
extern: extern+N+SG
night: night+N+SG
weekend: weekend+N+SG
duty: duty+N+SG
jail: jail+N+SG
ficials: ficial+N+PL
legislation: legislation+N+SG
establishment: Invalid Word
pension: pension+N+SG
plan: plan+N+SG
employes: employe+N+PL
operation: operation+N+SG
prison: prison+N+SG
farms: farm+N+PL
suit: suit+N+SG
divorce: divorce+N+SG
wife: wife+N+SG
petition: petition+N+SG
cruelty: cruelty+N+SG
couple: couple+N+SG
son: son+N+SG
daughter: daughter+N+SG
Attorneys: attorney+N+PL
mayor: mayor+N+SG
property: property+N+SG
settlement: settlement+N+SG
occupation: occupation+N+SG
attorney: attorney+N+SG
age: age+N+SG
birth: birth+N+SG
man: man+N+SG
year: year+N+SG
interlude: interlude+N+SG
career: career+N+SG
council: council+N+SG
fice: fice+N+SG
candidate: candidate+N+SG
reelection: reelection+N+SG
