Model,Smoothing,Dev Perplexity,Test Perplexity
Unigram,interpolated,10573.550959895874,10866.030797481511
Unigram,good_turing,2957.2522963431006,2997.9575081734274
Unigram,katz,11418.108896970087,11773.361574512635
Unigram,stupid,10573.550959895874,10866.030797481511
Unigram,kneser_ney,11225.500136239767,11559.425257454406
Bigram,interpolated,3821.1243370926813,3656.9098013547236
Bigram,good_turing,62.821781779449275,65.04540638307387
Bigram,katz,3562.6240611806174,3439.3960023248037
Bigram,stupid,2960.739943383553,2830.516820781922
Bigram,kneser_ney,2536.381074342617,2458.2188670423484
Trigram,interpolated,6943.5872910254475,6406.535646162042
Trigram,good_turing,828666.8409999536,715394.867617272
Trigram,katz,5561.686609727851,5228.436427522445
Trigram,stupid,4675.679495501405,4320.390856365395
Trigram,kneser_ney,2266.199981186673,2138.0359913440943
Quadgram,interpolated,15025.107486646426,13718.334183350808
Quadgram,good_turing,1206663878.3764892,1010168104.0979674
Quadgram,katz,10141.941133755605,9530.026939764375
Quadgram,stupid,9596.808710701864,8768.059892583371
Quadgram,kneser_ney,2265.9207028358705,2133.4327438446717
